name,url,tree,brand,size,price,promotion,tags,
Longan Thai Punnet,https://coldstorage.com.sg/longan-thai-punnet-cs-010456,fruits-vegetables/fresh-fruits/tropical-fruits,,1KG,$7.95,,"fruits,vegetables,fresh,tropical,Longan,Thai,Punnet"
Jackfruit Peeled Prepacked,https://coldstorage.com.sg/jackfruit-peeled-ppk-131130,fruits-vegetables/fresh-fruits/tropical-fruits,,400G,$5.45,,"fruits,vegetables,fresh,tropical,Jackfruit,Peeled,Prepacked"
Passion Fruit Punnet Malaysia,https://coldstorage.com.sg/passion-fruit-malaysia-074904,fruits-vegetables/fresh-fruits/tropical-fruits,,3 a pack,$3.10,,"fruits,vegetables,fresh,tropical,Passion,Fruit,Punnet,Malaysia"
MANGO CALYPSO,https://coldstorage.com.sg/mango-calypso-20-22c-166091,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$6.90,Buy 2 @ $11.95,"fruits,vegetables,fresh,tropical,MANGO,CALYPSO"
Pomegranate 1s,https://coldstorage.com.sg/pomegranate-pom-usa-30c-079403,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$2.95,,"fruits,vegetables,fresh,tropical,Pomegranate,1s"
Coconut Young 1s,https://coldstorage.com.sg/coconut-young-thai-076371,fruits-vegetables/fresh-fruits/tropical-fruits,,EA,$2.50,,"fruits,vegetables,fresh,tropical,Coconut,Young,1s"
COCONUT YOUNG THAI,https://coldstorage.com.sg/coconut-young-thai-171038,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$2.50,,"fruits,vegetables,fresh,tropical,COCONUT,YOUNG,THAI"
Avocado Large ,https://coldstorage.com.sg/avocado-24c-011241,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,150g,$3.45,Buy 3 @ $7.90,"fruits,vegetables,fresh,exotic,seasonal,Avocado,Large"
Persimmon Korea,https://coldstorage.com.sg/persimmon-korea-l-172096,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,1EA,$1.20,Buy 5 @ $4.95,"fruits,vegetables,fresh,exotic,seasonal,Persimmon,Korea"
Fresh Figs Israel,https://coldstorage.com.sg/figs-fresh-israel-160g-080126,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,160G,$5.90,Buy 2 @ $9.90,"fruits,vegetables,fresh,exotic,seasonal,Fresh,Figs,Israel"
Pomegranate,https://coldstorage.com.sg/pomegranate-8c-155870,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,1EA,$4.90,,"fruits,vegetables,fresh,exotic,seasonal,Pomegranate"
USA Medjool Dates 250g,https://coldstorage.com.sg/medjool-dates-usa-072234,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,330G,$9.90,,"fruits,vegetables,fresh,exotic,seasonal,USA,Medjool,Dates,250g"
MANGOSTEENS THAILAND,https://coldstorage.com.sg/mangosteens-thailand-169302,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,G,1PKT,$5.50,,"fruits,vegetables,fresh,exotic,seasonal,MANGOSTEENS,THAILAND"
Red Heart Kiwi 6s,https://coldstorage.com.sg/red-heart-kiwi-korea-5s-118494,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,1PKT,$7.95,11% off,"fruits,vegetables,fresh,exotic,seasonal,Red,Heart,Kiwi,6s"
Iran Piarum Dates 250g,https://coldstorage.com.sg/mariami-dates-250g-iran-005674,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,1PKT,$6.90,,"fruits,vegetables,fresh,exotic,seasonal,Iran,Piarum,Dates,250g"
Sio Pek Chye Malaysia,https://coldstorage.com.sg/sio-pek-chye-malaysia-071065,fruits-vegetables/fresh-vegetables/leafy-vegetables,,220g,$2.25,,"fruits,vegetables,fresh,leafy,Sio,Pek,Chye,Malaysia"
