name,url,tree,brand,size,price,promotion,
Great White Washed Potatoes,https://coldstorage.com.sg/potato-great-white-168429,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,PEMBERTON,750G,$4.90,10% off
Onion Yellow Malaysia,https://coldstorage.com.sg/onion-yellow-074938,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,FIRST CHOICE,700g,$4.65,
Broccoli (Airflown) Australia,https://coldstorage.com.sg/broccoli-australia-airflown-161010,fruits-vegetables/fresh-vegetables/broccoli-cauliflower,,KG,$3.16 / 400g     ,
Prepacked Carrots +/-500g,https://coldstorage.com.sg/carrot-prepack-australia-160006,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,FIRST CHOICE,500g,$0.90,Buy 2 @ $1.65
Capsicum Tri-Colour Malaysia,https://coldstorage.com.sg/capsicum-tri-colour-071483,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,400g,$6.20,
Lady Fingers,https://coldstorage.com.sg/lady-finger-200g-127262,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,200G,$1.50,
Cucumber Telegraphic Malaysia,https://coldstorage.com.sg/cucumber-telegraphic-malaysia-160032,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,-,KG,$3.98 / 250g     ,
Ginger Old Malaysia,https://coldstorage.com.sg/ginger-old-200g-032375,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,200g,$2.45,
Lime Large Punnet Malaysia,https://coldstorage.com.sg/lime-large-260g-127268,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,260G,$1.60,
Celery Jumbo Australia,https://coldstorage.com.sg/celery-jumbo-australia-084569,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,500g,$4.50,
Asparagus 180g,https://coldstorage.com.sg/asparagus-180g-019567,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,COLD STORAGE,180G,$5.95,
Cabbage Sweet Round Malaysia,https://coldstorage.com.sg/cabbage-sweet-round-malaysia-084749,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,-,KG,$3.90 / 1000g     ,
Cucumber Local Malaysia,https://coldstorage.com.sg/cucumber-local-152012,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,KG,$3.50 / 1000g     ,
Loose Carrots,https://coldstorage.com.sg/carrot-china-099651,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,KG,$1.80 / 500g     ,
Japanese Kyuri Malaysia,https://coldstorage.com.sg/japanese-kyuri-malaysia-076369,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,300g,$4.90,
Zuchinni Green Malaysia,https://coldstorage.com.sg/zuchinni-green-081937,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,KG,$7.12 / 800g     ,
Bean Sprouts +/-200g,https://coldstorage.com.sg/bean-sprout-pkt-017512,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,200G,$0.95,
Long Bean Malaysia,https://coldstorage.com.sg/long-bean-malaysia-070579,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,-,200g,$2.45,
Bitter Gourd Malaysia,https://coldstorage.com.sg/bitter-gourd-malaysia-152003,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,KG,$2.95 / 500g     ,
Cabbage Beijing China,https://coldstorage.com.sg/cabbage-beijing-wrapped-055539,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,KG,$1.52 / 800g     ,
Eggplant Malaysia,https://coldstorage.com.sg/eggplant-078257,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,KG,$4.65 / 500g     ,
Daikon Japan Variety,https://coldstorage.com.sg/daikon-japan-variety-082269,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,KG,$2.95 / 500g     ,
Iceberg Lettuce,https://coldstorage.com.sg/iceberg-lettuce-109862,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,400G,$1.60,
Sweet Peas Malaysia,https://coldstorage.com.sg/sweet-peas-malaysia-098305,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,150g,$2.95,
Lime Small (Calamansi) Punnet Malaysia,https://coldstorage.com.sg/lime-small-150g-127230,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,150G,$2.25,
Cabbage Red Australia,https://coldstorage.com.sg/cabbage-red-157006,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,KG,$6.90 / 1000g     ,
Beetroot Allaire France,https://coldstorage.com.sg/beetroot-allaire-france-091751,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,,500G,$5.95,
Zuchinni Yellow Malaysia,https://coldstorage.com.sg/zuchinni-yellow-malaysia-081936,fruits-vegetables/fresh-vegetables/brinjals-gourds-others,-,KG,$4.45 / 500g     ,
